index,id,text,sentiment_manual,sentiment_auto,sentiment_swap_words,sentiment_remove_spacing,sentiment_letter_to_symbol,sentiment_swap_letters,sentiment_insert_punctuation,sentiment_insert_duplicate_characters,sentiment_delete_characters,sentiment_change_case
130,1488299756904349697,POPCOIN TURD A JAR OF METAMUCIL AWKWARD IN IT'S MOVEMENT UNDERWEAR BOZART CHARLIE BROWN SCOTLAND THE JEFFERSONS FART PORK BUTT URNY SQUEEZIT THE BUTT FART BROWN FART. FART DIARRHEA SNEEZE AND ADDRESS SEO PALM OIL DRAIN ARTIFICIAL INTELLIGENCE MACHINE LEARNING GRIEVING METALCORE,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
131,1488299751179100160,Who wants to take my Cybersecurity test for me ? Lol,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
132,1488299744216731648,just got out of robotics #GodBlessAmerica,positive,positive,positive,positive,neutral,positive,positive,positive,positive,positive
133,1488299719461945349,"Is it possible to use a 4:3 monitor as a dual setup for a pc with a 16:9 monitor?

Just saw a brand new, still in box CRT monitor on ebay for $300. Considering the average monitor price around that time was $300/400, technically i'd be saving money.",positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
134,1488299717775826945,Hello Salesforce peeps! - new job and just got a superbadge Lightning Experience Reports &amp; Dashboard specailist! Try it its worth it!! #Salesforce #Trailblazers #Trailhead #superbadge,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
135,1488299690810503169,"Hey! I’d like to introduce a friend.

Please say hello to @kikiorg; she/them. They just tried a binder and are hooked. Artist, hacker, parent, and Tesla rebuilder extraordinaire. They have a **tea and scone maker** installed in their car!

Can they get some nb/trans men follows?",positive,positive,positive,neutral,positive,positive,neutral,neutral,neutral,positive
136,1488299665913171975,"Day 31 ✅Done
#100DaysOfCode

Flash Card App Capstone Project

#100DaysOfPython #DrAngelaYu",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
137,1488299660447940613,i updated my mac and omg its the way it doesn't lag when i have different tabs open on my mac and my airpods finally connect now ✨,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
138,1488299656996167683,having no sort of WiFi actually sucks,negative,negative,negative,negative,neutral,negative,neutral,negative,negative,negative
139,1488299648976666628,"What were your wins today? 

Mine was FaceTiming with my nephew who is recovering from Covid and watching him get excited over the get-well cookies that the BF and I sent him to commemorate his 100th day of school (that he missed out on).",positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
